# CLOSED LEDGER — deep closures beyond the base pipeline (decomposable/standard/quasi/*-split recomputable, not listed)
# m	class	route	provenance
39	(1,7,16,22,34,37)	*-split	§75
39	(1,14,16,22,29,35)	*-split	§75
45	(1,19,20,28,30,37)	two-pair-standard	§79
105	(3,24,50,66,85,87)	two-pair-standard	§79
105	(1,22,43,64,90,95)	two-pair-standard	§79
33	(1,4,16,22,25,31)	level-lift-66+descent	§83
54	(1,7,24,38,41,51)	depth-3 [pairs (2,52),(6,48),(26,28) -> G3closed(1, 6, 24, 28, 51, 52) + G3closed(2, 7, 26, 38, 41, 48)]	§84
54	(1,7,36,38,39,41)	depth-3 [pairs (2,52),(6,48),(26,28) -> G3closed(1, 6, 28, 36, 39, 52) + G3closed(2, 7, 26, 38, 41, 48)]	§84
66	(1,8,23,52,54,60)	depth-3 [pairs (3,63),(9,57),(18,48) -> G3closed(1, 9, 23, 48, 54, 63) + G3closed(3, 8, 18, 52, 57, 60)]	§84
66	(1,25,31,37,49,55)	depth-3 [pairs (2,64),(22,44),(33,33) -> G3closed(1, 25, 31, 33, 44, 64) + G3closed(2, 22, 33, 37, 49, 55)]	§84
70	(1,6,43,45,57,58)	depth-3 [pairs (5,65),(15,55),(29,41) -> G3closed(1, 15, 29, 43, 57, 65) + G3closed(5, 6, 41, 45, 55, 58)]	§84
72	(1,10,37,50,54,64)	depth-3 [pairs (2,70),(6,66),(24,48) -> G3closed(1, 6, 37, 48, 54, 70) + G3closed(2, 10, 24, 50, 64, 66)]	§84
72	(1,26,37,40,54,58)	depth-3 [pairs (2,70),(6,66),(24,48) -> G3closed(1, 6, 37, 48, 54, 70) + G3closed(2, 24, 26, 40, 58, 66)]	§84
78	(1,12,43,55,60,63)	depth-3 [pairs (9,69),(17,61),(30,48) -> G3closed(1, 9, 48, 55, 60, 61) + G3closed(12, 17, 30, 43, 63, 69)]	§84
78	(1,20,43,45,62,63)	depth-3 [pairs (2,76),(8,70),(11,67) -> G3closed(1, 8, 20, 62, 67, 76) + G3closed(2, 11, 43, 45, 63, 70)]	§84
78	(1,28,42,45,54,64)	depth-3 [pairs (2,76),(12,66),(39,39) -> G3closed(1, 12, 39, 42, 64, 76) + G3closed(2, 28, 39, 45, 54, 66)]	§84
90	(1,8,26,62,85,88)	depth-3 [pairs (10,80),(40,50),(44,46) -> G3closed(1, 10, 40, 46, 85, 88) + G3closed(8, 26, 44, 50, 62, 80)]	§84
90	(1,38,46,55,56,74)	depth-3 [pairs (2,88),(10,80),(20,70) -> G3closed(1, 10, 46, 55, 70, 88) + G3closed(2, 20, 38, 56, 74, 80)]	§84
102	(1,14,16,82,93,100)	depth-3 [pairs (18,84),(42,60),(50,52) -> G3closed(1, 18, 42, 52, 93, 100) + G3closed(14, 16, 50, 60, 82, 84)]	§84
102	(1,16,28,62,99,100)	depth-3 [pairs (6,96),(48,54),(50,52) -> G3closed(1, 6, 48, 52, 99, 100) + G3closed(16, 28, 50, 54, 62, 96)]	§84
102	(1,40,52,69,70,74)	depth-3 [pairs (2,100),(18,84),(36,66) -> G3closed(1, 18, 52, 66, 69, 100) + G3closed(2, 36, 40, 70, 74, 84)]	§84
102	(1,46,52,57,70,80)	depth-3 [pairs (2,100),(6,96),(12,90) -> G3closed(1, 6, 52, 57, 90, 100) + G3closed(2, 12, 46, 70, 80, 96)]	§84
108	(1,44,55,58,82,84)	depth-3 [pairs (2,106),(4,104),(8,100) -> G3closed(1, 4, 55, 58, 100, 106) + G3closed(2, 8, 44, 82, 84, 104)]	§84
50	(1,7,27,30,41,44)	depth-4 [pairs (4,46),(14,36),(16,34),(24,26) -> G2(1, 26, 27, 46) + G3closed(4, 14, 24, 30, 34, 44) + G2(7, 16, 36, 41)]	§84
54	(1,7,19,36,49,50)	iterated-d3 gen-2 [pairs (6,48),(8,46),(13,41) -> G3closed(1, 7, 19, 41, 46, 48) + G3d2(6, 8, 13, 36, 49, 50)]	§85
90	(1,23,38,55,74,79)	iterated-d3 gen-2 [pairs (2,88),(34,56),(45,45) -> G3closed(1, 23, 34, 45, 79, 88) + G3d2(2, 38, 45, 55, 56, 74)]	§85
114	(1,44,60,77,78,82)	depth-3 [pairs (3,111),(18,96),(57,57) -> G3closed(1, 18, 57, 77, 78, 111) + G3closed(3, 44, 57, 60, 82, 96)]	§85
138	(1,22,57,63,135,136)	depth-3 [pairs (6,132),(66,72),(68,70) -> G3closed(1, 6, 66, 70, 135, 136) + G3closed(22, 57, 63, 68, 72, 132)]	§85
138	(1,70,75,81,93,94)	depth-3 [pairs (2,136),(6,132),(12,126) -> G3closed(1, 6, 70, 75, 126, 136) + G3closed(2, 12, 81, 93, 94, 132)]	§85
140	(1,58,71,86,90,114)	depth-3 [pairs (2,138),(10,130),(30,110) -> G3closed(1, 10, 71, 90, 110, 138) + G3closed(2, 30, 58, 86, 114, 130)]	§85
150	(1,39,66,101,120,123)	iterated-d3 gen-2 [pairs (3,147),(24,126),(54,96) -> G3closed(1, 24, 54, 101, 123, 147) + G3d2(3, 39, 66, 96, 120, 126)]	§85
156	(1,79,84,90,106,108)	depth-3 [pairs (2,154),(6,150),(12,144) -> G3closed(1, 6, 79, 84, 144, 154) + G3closed(2, 12, 90, 106, 108, 150)]	§86
156	(2,45,84,106,108,123)	depth-3 [pairs (6,150),(12,144),(66,90) -> G3closed(2, 12, 90, 106, 108, 150) + G3closed(6, 45, 66, 84, 123, 144)]	§86
168	(1,27,87,113,126,150)	depth-3 [pairs (2,166),(29,139),(84,84) -> G3closed(1, 27, 84, 87, 139, 166) + G3closed(2, 29, 84, 113, 126, 150)]	§86
168	(1, 25, 79, 121, 127, 151)	coset-transfer from the *-split class (6,54,60,108,126,150) [nu(a)-nu(beta) in S_168; Prop. w168]	§92
210	(1, 79, 109, 121, 151, 169)	s-lattice-certificate-lemma4.1iii	§93
210	(1,43,44,169,185,188)	depth-3 [pairs (5,205),(83,127),(85,125) -> G3closed(1, 43, 85, 127, 169, 205) + G3closed(5, 44, 83, 125, 185, 188)]	§216
210	(2,82,111,141,142,152)	depth-3 [pairs (6,204),(36,174),(105,105) -> G3closed(2, 36, 105, 141, 142, 204) + G3closed(6, 82, 105, 111, 152, 174)]	§216
